image_id,baseline,aug_only,tone_only,full,baseline_balanced
ISIC_0029176,0.8016750290989876,0.2872520890086889,0.3651198465377092,0.2487631775438785,0.0198131534270942
ISIC_0029068,0.8598236441612244,0.3080223686993122,0.7411687523126602,0.7522986941039562,0.2387620620429515
ISIC_0029836,0.3461224604398012,0.6706754341721535,0.2813654327765107,0.1001205849461257,0.0444854267407208
ISIC_0032129,0.3791142143309116,0.5495345629751682,0.1628645900636911,0.1725433599203825,0.1580947106704116
ISIC_0027815,0.0813236804679036,0.0901829837821424,0.0105469882837496,0.1391433076933026,0.003836283518467
ISIC_0024324,0.1643321253359317,0.2604333879426121,0.1683811619877815,0.2630003951489925,0.3676316533237695
ISIC_0029559,0.2092085210606455,0.4008567333221435,0.1387627096846699,0.3520235307514667,0.0313774179667234
ISIC_0025016,0.9501961693167686,0.9474226161837578,0.99159874022007,0.9512216150760652,0.8899548724293709
ISIC_0029147,0.9317225366830826,0.94155802577734,0.9797218218445778,0.922431081533432,0.9094948023557664
ISIC_0027960,0.9735587611794472,0.9509784802794456,0.978899359703064,0.9424657374620438,0.9786358624696732
ISIC_0026955,0.8331958055496216,0.817668616771698,0.902792513370514,0.828896664083004,0.9512590914964676
ISIC_0029288,0.2768477648496628,0.1554557755589485,0.1791104031726718,0.1199645651504397,0.008653008902911
ISIC_0031008,0.1410295879468321,0.1702944515272975,0.1331397574394941,0.0767172425985336,0.0122425949666649
ISIC_0030189,0.4432005062699318,0.286563515663147,0.1314377509988844,0.1624915106222033,0.0115165055030956
ISIC_0026532,0.5311184115707874,0.5180839858949184,0.0931939207948744,0.0916933910921216,0.0158121694694273
ISIC_0029022,0.8598003387451172,0.9667756855487823,0.8116999045014381,0.925800271332264,0.8882119879126549
ISIC_0032463,0.5625266451388597,0.8346182405948639,0.4089768715202808,0.7301693931221962,0.1208685729652643
ISIC_0025548,0.4405604526400566,0.7822862640023232,0.1588869523257017,0.3098434507846832,0.1195090729743242
ISIC_0032304,0.411891721189022,0.465044155716896,0.3612300828099251,0.1998095037415623,0.1349620381370186
ISIC_0031639,0.5335439667105675,0.3650841116905212,0.32922138646245,0.3724750373512506,0.1070213739294558
ISIC_0032949,0.6440891847014427,0.8024027571082115,0.767792321741581,0.7962286397814751,0.910138003528118
ISIC_0033322,0.4614268690347671,0.6632019989192486,0.3654515147209167,0.3782988488674164,0.6164411045610905
ISIC_0033127,0.8410709202289581,0.6400524266064167,0.8900585770606995,0.276386009529233,0.689943715929985
ISIC_0030276,0.7727812267839909,0.753141276538372,0.4571044594049454,0.1224175002425909,0.5062520578503609
ISIC_0029929,0.8410144150257111,0.9144079238176346,0.8683475404977798,0.8253610134124756,0.9125326350331306
ISIC_0033437,0.9430835023522376,0.8985337093472481,0.922572560608387,0.7762911468744278,0.6396331116557121
ISIC_0033195,0.7601765990257263,0.5776071958243847,0.5113924294710159,0.5572461038827896,0.3136526308953762
ISIC_0032553,0.9287965521216393,0.963594377040863,0.9753811582922935,0.8773062378168106,0.7784249633550644
ISIC_0033778,0.2163909710943699,0.5578312799334526,0.6452012732625008,0.2648801896721124,0.0908522377721965
ISIC_0032863,0.7251014858484268,0.7358037382364273,0.9118825793266296,0.5669444352388382,0.7379319444298744
ISIC_0034168,0.1722249956801533,0.2711834330111742,0.4687705673277378,0.140866813249886,0.0502803982235491
ISIC_0034070,0.4542169831693172,0.7118967957794666,0.2691227928735316,0.6842362061142921,0.5662311390042305
ISIC_0033709,0.1841250387951731,0.5853611789643764,0.1187503193505108,0.6840920373797417,0.166479067876935
ISIC_0033587,0.4491440281271934,0.7690570130944252,0.8242335841059685,0.2960169371217489,0.3508069384843111
ISIC_0032675,0.1873217914253473,0.0847486071288585,0.065638008294627,0.1538303885608911,0.0121006505796685
ISIC_0033507,0.8459859862923622,0.7046628221869469,0.9832678735256196,0.7659060284495354,0.7813045158982277
ISIC_0033791,0.913751281797886,0.5705053210258484,0.9766546487808228,0.8653168976306915,0.8418726027011871
ISIC_0032099,0.4464188478887081,0.5913376770913601,0.5367393717169762,0.3007604051381349,0.633387103676796
ISIC_0025157,0.8220132142305374,0.4599332325160503,0.5844349190592766,0.364148274064064,0.4509532079100609
ISIC_0031620,0.8616144508123398,0.4985356256365776,0.6416767314076424,0.712090514600277,0.4167306311428547
ISIC_0025136,0.7020139880478382,0.9599329009652138,0.7626523673534393,0.9128664582967758,0.8473533242940903
ISIC_0027218,0.4057387579232454,0.2623313497751951,0.3451240248978138,0.2504918295890093,0.1098873238079249
ISIC_0032325,0.0843135877512395,0.2169790621846914,0.1139311417937278,0.189870536327362,0.0510364959482103
ISIC_0027139,0.1511004148051142,0.257787462323904,0.2081860285252332,0.1623386479914188,0.1349250823259353
ISIC_0029394,0.3772681760601699,0.172254242002964,0.3173484560102224,0.3828212954103946,0.2183878924697637
ISIC_0027739,0.2199289202690124,0.2197165861725807,0.1909480104222893,0.2036704095080495,0.2316341963596642
ISIC_0027374,0.1986578563228249,0.1352826030924916,0.1992374723777175,0.3725555948913097,0.0969918421469628
ISIC_0028336,0.4474354647099972,0.4462333805859089,0.8182995766401291,0.5480536110699177,0.6110922433435917
ISIC_0028970,0.9003909155726433,0.9542003646492958,0.8510050401091576,0.8264459893107414,0.9248757660388948
ISIC_0027068,0.4543163403868675,0.4174956977367401,0.2311394494026899,0.0890690670348703,0.0700237147975713
ISIC_0027796,0.0632280968129634,0.267064593732357,0.1449727774597704,0.134964894503355,0.0325975290033966
ISIC_0026607,0.9143062606453896,0.94626422226429,0.971676841378212,0.9265098571777344,0.6176569499075413
ISIC_0029062,0.4574670754373073,0.7518332973122597,0.6929729282855988,0.396278353407979,0.5989496819674969
ISIC_0030095,0.7564657032489777,0.7377218268811703,0.7690639644861221,0.3975560199469328,0.3164261095225811
ISIC_0031394,0.5244004298001528,0.6475486755371094,0.4019521530717611,0.3849111255258322,0.094985136645846
ISIC_0026634,0.7417017892003059,0.6774949282407761,0.8850541412830353,0.708741083741188,0.8364140316843987
ISIC_0027454,0.7641203254461288,0.6031924821436405,0.6185286343097687,0.72795370221138,0.4934844393283129
ISIC_0026775,0.9750180765986444,0.8842022493481636,0.937341719865799,0.8829431161284447,0.8875967562198639
ISIC_0024773,0.5055577307939529,0.4039863832294941,0.2782523464411497,0.0999458045698702,0.1004538007546216
ISIC_0028846,0.7365086302161217,0.4868646506220102,0.7104991152882576,0.2109020687639713,0.4898817650973797
ISIC_0026159,0.7560149654746056,0.2667758334428072,0.5925920680165291,0.1881563821807503,0.4320274703204632
ISIC_0026923,0.9698942452669144,0.9494847878813744,0.9795715734362602,0.8946580216288567,0.928378738462925
ISIC_0025928,0.9750224202871324,0.9363855272531508,0.9782212302088736,0.9331006333231926,0.9448512867093086
ISIC_0031819,0.4846665114164352,0.4311275873333215,0.1009080947842449,0.1788530331104993,0.0842648965772241
ISIC_0032230,0.9406760185956956,0.7417399920523167,0.967409797012806,0.8959228992462158,0.9209657981991768
ISIC_0029525,0.9669295027852058,0.8817766681313515,0.9918473735451698,0.9263846501708032,0.9500762671232224
ISIC_0029474,0.7302987352013588,0.4977835528552532,0.2778992224484682,0.3947092182934284,0.5630861595273018
ISIC_0032045,0.9734871238470078,0.7261317744851112,0.96762665361166,0.9520180448889732,0.9059739038348198
ISIC_0024381,0.864585742354393,0.8870294317603111,0.9635343998670578,0.8460153341293335,0.914253905415535
ISIC_0029991,0.937733568251133,0.9206168428063392,0.9495781287550926,0.8262132927775383,0.9101478010416032
ISIC_0029249,0.9569439142942427,0.9602328836917876,0.97285845130682,0.96420519053936,0.939423568546772
ISIC_0030822,0.9271164759993552,0.9320949167013168,0.9525265246629716,0.947539784014225,0.9307221695780754
ISIC_0029311,0.3569678850471973,0.3255867809057235,0.2070508077740669,0.358260627835989,0.2158567141741514
ISIC_0026895,0.9077329859137536,0.8138864189386368,0.6968319267034531,0.7783901616930962,0.6357656009495258
ISIC_0025716,0.9911165535449982,0.9453591853380204,0.9951369389891624,0.9128460586071014,0.973022349178791
ISIC_0028750,0.9010549336671828,0.8079680949449539,0.7848958596587181,0.5645211040973663,0.6779403910040855
ISIC_0030365,0.9593261778354644,0.9145382344722748,0.9819384291768074,0.9554251283407212,0.9663949832320212
ISIC_0027192,0.864865243434906,0.758263349533081,0.9592263624072076,0.6784906163811684,0.8193731978535652
ISIC_0028840,0.2291941354051232,0.1486104745417833,0.2579977642744779,0.1139487158507108,0.0709166203159838
ISIC_0030683,0.5190192721784115,0.3817061316221952,0.686813335865736,0.2398669421672821,0.5171974822878838
ISIC_0028237,0.6096545159816742,0.5851422473788261,0.4293500371277332,0.340085007250309,0.1581964613869786
ISIC_0029585,0.2577868178486824,0.1861225813627243,0.2241035476326942,0.1937565561383962,0.0177973401732742
