image_id,ita,label,L,b
ISIC_0029176,75.76102447509766,0,73.38069915771484,5.93314790725708
ISIC_0029068,70.03397369384766,0,73.81124877929688,8.650595664978027
ISIC_0029836,-80.3084487915039,0,74.48402404785156,-4.1814141273498535
ISIC_0032129,-77.4225845336914,0,74.89988708496094,-5.555477142333984
ISIC_0027815,76.68510437011719,0,76.4932632446289,6.270015716552734
ISIC_0024324,-56.082664489746094,0,63.188880920410156,-8.8683500289917
ISIC_0029559,-64.94573974609375,0,63.10245895385742,-6.1248884201049805
ISIC_0025016,-62.320125579833984,0,62.93288040161133,-6.784125328063965
ISIC_0029147,-49.89072799682617,0,61.983551025390625,-10.09439468383789
ISIC_0027960,-70.05660247802734,0,58.68416976928711,-3.1510653495788574
ISIC_0026955,-79.93620300292969,0,62.60551834106445,-2.2371668815612793
ISIC_0029288,-84.0335922241211,0,59.26190185546875,-0.9679727554321289
ISIC_0031008,-75.78838348388672,0,60.88985824584961,-2.7579081058502197
ISIC_0030189,-69.5564193725586,0,58.76237487792969,-3.2662863731384277
ISIC_0026532,-49.07210540771485,0,58.333499908447266,-7.2258076667785645
ISIC_0029022,-81.41869354248047,0,60.95589828491211,-1.6532670259475708
ISIC_0032463,-52.45228958129883,0,58.71869659423828,-6.701626300811768
ISIC_0025548,-70.09446716308594,0,62.29087448120117,-4.450573921203613
ISIC_0032304,-57.02911758422852,0,62.915870666503906,-8.37833309173584
ISIC_0031639,-73.93878173828125,0,65.3687973022461,-4.424709320068359
ISIC_0032949,-65.81635284423828,0,58.291748046875,-3.7236180305480957
ISIC_0033322,-70.75831604003906,0,61.52891159057617,-4.024198532104492
ISIC_0033127,-78.49018859863281,0,67.31876373291016,-3.5266308784484863
ISIC_0030276,-82.1075668334961,0,63.7769775390625,-1.909857988357544
ISIC_0029929,82.19073486328125,0,65.44052124023438,2.1176304817199707
ISIC_0033437,-71.09435272216797,0,67.97187805175781,-6.15513277053833
ISIC_0033195,-85.06959533691406,0,83.81172180175781,-2.9167568683624268
ISIC_0032553,-82.52836608886719,0,75.24662780761719,-3.3110666275024414
ISIC_0033778,-67.66783905029297,0,69.75678253173828,-8.115796089172363
ISIC_0032863,-38.122013092041016,0,55.21235656738281,-6.642306804656982
ISIC_0034168,-60.56026458740234,0,64.31378173828125,-8.078485488891602
ISIC_0034070,-69.044189453125,0,64.12767028808594,-5.410604000091553
ISIC_0033709,-72.40744018554688,0,64.54003143310547,-4.610287666320801
ISIC_0033587,87.76936340332031,0,68.03622436523438,0.7025383710861206
ISIC_0032675,-86.00385284423828,0,74.69871520996094,-1.7254323959350586
ISIC_0033507,-87.5895004272461,0,55.33945846557617,-0.22476941347122192
ISIC_0033791,85.29167175292969,0,65.02928161621094,1.2378300428390503
ISIC_0032099,64.2628173828125,0,70.8120346069336,10.032793998718262
ISIC_0025157,79.4080581665039,0,73.42778778076172,4.380982875823975
ISIC_0031620,-81.23350524902344,0,72.55426788330078,-3.4780805110931396
ISIC_0025136,69.52059173583984,0,67.93385314941406,6.697844505310059
ISIC_0027218,76.89359283447266,0,73.55806732177734,5.484907150268555
ISIC_0032325,71.12934112548828,0,72.50648498535156,7.6928181648254395
ISIC_0027139,80.32023620605469,0,75.30084991455078,4.315554141998291
ISIC_0029394,88.43595123291016,0,73.47477722167969,0.6409655809402466
ISIC_0027739,-60.756961822509766,0,73.4447250366211,-13.125937461853027
ISIC_0027374,80.39581298828125,0,72.2582015991211,3.766361713409424
ISIC_0028336,89.36187744140625,0,70.09165954589844,0.22377456724643707
ISIC_0028970,66.93854522705078,0,59.18703079223633,3.911297082901001
ISIC_0027068,89.51089477539062,0,72.89030456542969,0.1954059898853302
ISIC_0027796,-75.33440399169922,0,70.43611145019531,-5.3481974601745605
ISIC_0026607,59.98783493041992,0,60.92696762084961,6.311785697937012
ISIC_0029062,83.5046157836914,0,72.48162078857422,2.5596210956573486
ISIC_0030095,78.68236541748047,0,68.26407623291016,3.655364513397217
ISIC_0031394,75.95745849609375,0,70.0097885131836,5.0047831535339355
ISIC_0026634,-88.28582000732422,0,61.114501953125,-0.3326234221458435
ISIC_0027454,86.04910278320312,0,66.306884765625,1.1262433528900146
ISIC_0026775,-77.55733489990234,0,63.71870803833008,-3.0269615650177
ISIC_0024773,89.6319808959961,0,68.14704132080078,0.11656149476766586
ISIC_0028846,-76.69770050048828,0,66.05360412597656,-3.7955894470214844
ISIC_0026159,66.9083251953125,0,72.4518814086914,9.572687149047852
ISIC_0026923,-78.72232055664062,0,69.23845672607422,-3.8364295959472656
ISIC_0025928,-60.11894607543945,0,65.92243194580078,-9.148792266845703
ISIC_0031819,-82.85356903076172,0,78.23954772949219,-3.540658712387085
ISIC_0032230,70.27072143554688,0,71.38851165771484,7.670526504516602
